[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:27,207 INFO [RMI TCP Connection(2)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:36,227 INFO [main][StartupInfoLogger.java:50] - Starting MamsStudentApplication on DESKTOP-U5SUJ4I with PID 13004 (D:\graduation\mams\mams-student\target\classes started by tcp666 in D:\graduation\mams)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:36,236 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,132 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cb3f6d22] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,354 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8083 (http)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,365 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8083"]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,375 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,376 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,381 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,619 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
