[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:32,799 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:32,886 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:32,886 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1315 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:33,746 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:33,838 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,036 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,077 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,097 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,099 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 3.077 seconds (JVM running for 4.341)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,331 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
