[mams-school][${env:SERVER_PORT}] 2021-05-25 17:07:38,799 ERROR [http-nio-8082-exec-1][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:58,605 INFO [main][StartupInfoLogger.java:50] - Starting MamsSchoolApplication on DESKTOP-U5SUJ4I with PID 34584 (D:\graduation\mams\mams-school\target\classes started by tcp666 in D:\graduation\mams)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:58,617 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:59,699 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$565acfcf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:59,967 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8082 (http)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:59,983 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:59,993 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:09:59,993 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:00,001 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:00,116 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:00,117 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1431 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:00,972 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,060 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,270 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,314 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,334 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,337 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 3.469 seconds (JVM running for 5.553)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,434 INFO [http-nio-8082-exec-1][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,434 INFO [http-nio-8082-exec-1][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,443 INFO [http-nio-8082-exec-1][FrameworkServlet.java:546] - Completed initialization in 8 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,639 INFO [http-nio-8082-exec-2][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:10:01,888 INFO [http-nio-8082-exec-2][HikariDataSource.java:123] - HikariPool-1 - Start completed.
